州RGB,領有国RGB,管理国RGB,改行コード消す用
10.201.251,63.95.191,63.95.191,0
63.221.251,63.95.191,63.95.191,0
13.201.201,63.95.191,63.95.191,0
11.221.251,63.95.191,63.95.191,0
12.251.251,63.95.191,63.95.191,0
127.220.250,63.95.191,63.95.191,0
15.221.251,63.95.191,63.95.191,0
62.201.251,63.95.191,63.95.191,0
124.250.250,63.95.191,63.95.191,0
125.200.200,63.95.191,63.95.191,0
126.200.250,63.95.191,63.95.191,0
0.251.251,63.95.191,63.95.191,0
1.201.201,63.95.191,63.95.191,0
9.201.201,63.95.191,63.95.191,0
64.251.251,63.95.191,63.95.191,0
40.253.253,63.95.191,63.95.191,0
65.230.214,63.95.191,63.95.191,0
14.201.251,63.95.191,63.95.191,0
32.144.192,194.53.60,194.53.60,0
160.17.192,194.53.60,194.53.60,0
224.160.224,194.53.60,194.53.60,0
160.144.192,194.53.60,194.53.60,0
224.208.128,194.53.60,194.53.60,0
176.17.192,194.53.60,194.53.60,0
49.144.192,194.53.60,194.53.60,0
112.16.64,194.53.60,194.53.60,0
176.144.192,194.53.60,194.53.60,0
240.16.64,194.53.60,194.53.60,0
239.144.192,194.53.60,194.53.60,0
112.144.192,194.53.60,194.53.60,0
176.80.192,194.53.60,194.53.60,0
49.208.192,194.53.60,194.53.60,0
240.17.192,194.53.60,194.53.60,0
112.144.64,194.53.60,194.53.60,0
71.133.153,194.53.60,194.53.60,0
112.16.192,194.53.60,194.53.60,0
239.144.64,194.53.60,194.53.60,0
48.80.192,194.53.60,194.53.60,0
136.89.95,194.53.60,194.53.60,0
48.208.64,194.53.60,194.53.60,0
112.80.64,194.53.60,194.53.60,0
176.208.64,194.53.60,194.53.60,0
48.80.64,194.53.60,194.53.60,0
97.66.135,194.53.60,194.53.60,0
176.208.192,194.53.60,194.53.60,0
112.208.64,194.53.60,194.53.60,0
240.80.64,194.53.60,194.53.60,0
17.81.192,194.53.60,194.53.60,0
162.135.176,194.53.60,194.53.60,0
113.81.1,194.53.60,194.53.60,0
144.208.64,194.53.60,194.53.60,0
239.208.64,194.53.60,194.53.60,0
240.80.1,194.53.60,194.53.60,0
112.207.0,194.53.60,194.53.60,0
239.80.128,194.53.60,194.53.60,0
112.80.128,194.53.60,194.53.60,0
112.208.128,194.53.60,194.53.60,0
240.208.0,194.53.60,194.53.60,0
155.168.181,26.53.177,194.53.60,0
48.208.128,26.53.177,26.53.177,0
176.208.128,26.53.177,26.53.177,0
48.80.128,26.53.177,26.53.177,0
49.208.0,26.53.177,26.53.177,0
176.208.0,26.53.177,26.53.177,0
240.144.128,26.53.177,26.53.177,0
112.239.192,26.53.177,26.53.177,0
48.80.0,26.53.177,26.53.177,0
176.80.0,26.53.177,26.53.177,0
240.17.128,26.53.177,26.53.177,0
112.144.128,26.53.177,26.53.177,0
112.17.128,26.53.177,26.53.177,0
240.144.1,26.53.177,26.53.177,0
240.16.0,26.53.177,26.53.177,0
112.17.1,26.53.177,26.53.177,0
160.208.128,26.53.177,26.53.177,0
33.208.128,26.53.177,26.53.177,0
